Year,Category,Name,Location,Province,Coordinates
2017,Manufacturing,PT Integra Indocabinet,"Surabaya, East Java",ID-JI,"[-7.390122539528874, 112.7565412253401]"
2017,Manufacturing,PT Zinkpower Batamindo,"Batam, Riau Islands",ID-KR,"[1.07032152695881, 103.91248849832688]"
2017,Manufacturing,PT Zinkpower Austrindo,Banten,ID-BT,"[-6.201802472907945, 106.33420246765985]"
2017,Power Plants,Nho'n Trach 1 & 2 CCPP (PetroVietnam),"Đồng Nai, Vietnam",VN-39,"[10.738400705057375, 106.91965595970828]"
2017,Power Plants,Ca Mau 1 & 2 CCPP (PetroVietnam),"Cà Mau, Vietnam",VN-59,"[9.23800401238043, 105.06082456586545]"
2017,Power Plants,Vung Ang 1 TPP (PetroVietnam),"Hà Tĩnh, Vietnam",VN-23,"[18.0976906732312, 106.38086606596065]"
2017,Power Plants,PT PLN (Persero) - PLTU Nagan Raya,"Nagan Raya, Aceh",ID-AC,"[4.109405545263137, 96.1995035854441]"
2017,Power Plants,PT PLN (Persero) - PLTU Jeranjang,"Lombok, West Nusa Tenggara",ID-NB,"[-8.659255241046226, 116.0726168811717]"
2017,Power Plants,PT PLN Indonesia Power - PLTA Saguling,"Bandung, West Java",ID-JB,"[-6.8640583574434535, 107.34999017116415]"
2017,Power Plants,PT PLN (Persero) - PLTA Koto Panjang,"Kampar, Riau",ID-RI,"[0.29585458918396357, 100.88540780996794]"
2017,Power Plants,PT PLN Indonesia Power - PLTP Ulumbu,"Manggarai, East Nusa Tenggara",ID-NT,"[-8.726120733475481, 120.43476058592141]"
2017,Oil & Gas,PT Megah Jaya Prima Lestari,"Makassar, South Sulawesi",ID-SN,"[-5.157731216179764, 119.41875780813109]"
2018,Petrochemical,PT Pupuk Kalimantan Timur - Ammonia & Urea Plant 1A,"Bontang, East Kalimantan",ID-KI,"[0.1859610542238235, 117.48924339159494]"
2018,Power Plants,PLTG Maleo,"Pohuwato, Gorontalo",ID-GO,"[0.47347116538129247, 122.00213558484225]"
